Name;Country;ProneAccuracy;StandingAccuracy;SkiSpeed;Stamina;Gender;Age
REMES Inka;FIN;90.000;73.750;26.800;72.867;JWOMEN;22
HURSKAINEN Saga;FIN;91.200;72.800;21.813;77.710;JWOMEN;20
JORONEN Sofia;FIN;76.875;83.125;33.254;63.746;JWOMEN;27
PEURALAHTI Seela;FIN;80.000;64.444;33.456;71.868;JWOMEN;24
RAINIO Lyydia;FIN;77.931;75.172;22.126;75.347;JWOMEN;21
HAKALA Eveliina;FIN;91.111;71.111;37.329;45.998;JWOMEN;19
IRVANKOSKI Emilia;FIN;60.000;65.000;29.094;74.634;JWOMEN;23
KOSKELA Aino;FIN;84.000;48.000;24.523;74.310;JWOMEN;17
MENNALA Venla;FIN;71.667;50.000;33.335;65.619;JWOMEN;16
PALSINAJARVI Melia;FIN;69.333;42.667;25.190;63.988;JWOMEN;20
RANTAKOMI Ilona;FIN;80.000;80.000;5.535;48.813;JWOMEN;19
WESTERLUND Teodora;FIN;76.000;72.000;19.077;33.628;JWOMEN;21
RAJALA Maija;FIN;53.333;60.000;14.581;59.918;JWOMEN;18
OIKKONEN Sissi;FIN;86.667;60.000;1.000;46.014;JWOMEN;20
JEANMONNOT Lou;FRA;93.056;86.806;77.411;77.865;WOMEN;27
SIMON Julia;FRA;91.803;82.951;75.272;74.469;WOMEN;29
MICHELON Oceane;FRA;87.647;82.059;76.056;79.581;WOMEN;23
BRAISAZ-BOUCHET Justine;FRA;74.559;76.765;81.417;75.643;WOMEN;29
BENED Camille;FRA;93.832;88.411;66.170;76.398;WOMEN;25
RICHARD Jeanne;FRA;90.185;76.481;71.574;74.892;WOMEN;23
CHAUVEAU Sophie;FRA;88.041;72.577;73.873;75.318;WOMEN;26
BOTET Paula;FRA;81.308;84.860;70.079;75.148;WOMEN;25
GUIGONNAT Gilonne;FRA;81.099;84.176;68.239;76.256;JWOMEN;27
GALMACE PAULIN Voldiya;FRA;89.020;75.098;67.357;73.519;JWOMEN;20
MENGIN Amandine;FRA;89.505;86.733;57.226;71.208;JWOMEN;21
BERTRAND Fany;FRA;92.000;80.500;53.639;72.659;JWOMEN;23
HENAFF Celia;FRA;78.043;74.348;61.898;72.663;JWOMEN;21
BONDOUX Anaelle;FRA;80.000;74.000;60.587;71.837;JWOMEN;21
DUPONT BALLET BAZ Lou-Anne;FRA;83.871;81.290;53.080;74.306;JWOMEN;20
FONTAINE Themice;FRA;93.333;71.111;52.819;71.591;JWOMEN;20
PERRIN Coralie;FRA;72.727;89.091;50.059;75.911;JWOMEN;19
CORREIA Maela;FRA;74.286;85.714;50.722;73.355;JWOMEN;20
ROGUET Louise;FRA;69.730;80.541;54.489;70.875;JWOMEN;19
OLIVA Juliette;FRA;77.143;65.714;58.014;67.373;JWOMEN;18
ACHOUI Maelle;FRA;80.000;70.000;42.794;81.373;JWOMEN;18
BONY Violette;FRA;77.143;74.286;55.765;62.350;JWOMEN;22
BUGEAUD Lola;FRA;72.222;71.111;45.644;78.097;JWOMEN;19
JEANNIER Leonie;FRA;80.000;96.000;48.372;49.691;JWOMEN;23
CANDAU-ARMAND Namou;FRA;81.290;74.839;45.151;67.837;JWOMEN;19
LAINE Eva;FRA;66.667;48.889;50.508;70.825;JWOMEN;21
PENDRY Shawna;GBR;81.852;73.704;34.757;77.262;WOMEN;23
DUPONT Chloe;GBR;72.195;63.415;32.405;59.850;WOMEN;22
CALDWELL Molly;GBR;76.735;71.429;21.015;60.306;WOMEN;20
CLIFFORD Josie;GBR;79.310;63.448;19.525;71.099;WOMEN;19
CADELL Iona;GBR;83.704;71.852;9.334;64.071;JWOMEN;19
BERGER Emily;GBR;51.429;80.000;8.306;81.266;JWOMEN;17
CADELL Isla;GBR;80.000;55.000;7.268;74.604;JWOMEN;17
LOATES Cara;GBR;72.500;77.500;1.000;38.912;JWOMEN;22
PREUSS Franziska;GER;94.630;83.889;72.925;78.256;WOMEN;31
VOIGT Vanessa;GER;93.654;92.308;67.225;81.366;WOMEN;28
HETTICH-WALZ Janina;GER;92.432;72.973;72.333;81.710;WOMEN;29
TANNHEIMER Julia;GER;77.600;82.000;72.637;75.547;WOMEN;20
GROTIAN Selina;GER;80.962;82.692;69.453;76.987;WOMEN;21
WEIDEL Anna;GER;91.000;87.667;62.407;69.462;WOMEN;29
FICHTNER Marlene;GER;92.653;88.571;58.937;74.084;WOMEN;22
SCHNEIDER Sophia;GER;78.442;80.779;65.408;77.441;WOMEN;28
KINK Julia;GER;81.474;80.211;63.357;75.879;JWOMEN;21
KEBINGER Hanna;GER;82.466;80.822;56.456;75.331;JWOMEN;28
DE BUHR Lotta;GER;81.176;74.118;56.312;78.670;JWOMEN;22
BRAUN Mareike;GER;84.138;82.759;51.099;74.875;JWOMEN;25
SCHERER Stefanie;GER;91.556;92.000;52.638;59.627;JWOMEN;29
SPARK Lisa Maria;GER;91.250;75.625;53.786;69.200;JWOMEN;25
WUESTLING Sydney;GER;85.000;82.000;53.818;68.333;JWOMEN;17
SIEGISMUND Alma;GER;90.667;80.667;41.374;77.767;JWOMEN;20
KASTL Selina Marie;GER;94.118;87.059;41.816;69.982;JWOMEN;24
PUFF Johanna;GER;91.429;88.571;53.014;55.547;JWOMEN;23
ZIMMERMANN Lea;GER;84.762;80.952;47.087;71.903;JWOMEN;21
NUSSBICKER Alina;GER;89.091;85.455;43.134;70.859;JWOMEN;21
NEUNER Magdalena;GER;87.500;74.500;82.821;81.575;JWOMEN;18
DOMRACHEVA Darya;GER;85.500;72.500;85.821;80.575;JWOMEN;18
GAUPP Melina;GER;86.087;71.304;48.889;72.686;JWOMEN;17
GEHRMANN Karla;GER;86.667;80.000;43.269;72.006;JWOMEN;20
PATZ Sophie;GER;92.500;81.250;45.194;63.124;JWOMEN;20
SIEGMUND Lena;GER;88.889;73.333;44.391;71.499;JWOMEN;19
FRUEHWIRT Juliane;GER;93.333;60.000;48.066;71.993;JWOMEN;27
LEHNUNG Johanna;GER;95.000;82.500;42.442;59.384;JWOMEN;20
GALLBRONNER Charlotte;GER;93.333;72.222;40.044;70.519;JWOMEN;22
ZERRER Lea;GER;90.000;48.000;42.151;81.040;JWOMEN;20
DIETERSBERGER Leni;GER;62.500;75.000;35.414;63.653;JWOMEN;19
CHARALAMPIDOU Konstantina;GRE;84.615;84.615;26.268;58.691;WOMEN;23
SLETTEMARK Ukaleq Astri;GRL;90.000;83.462;33.036;72.333;WOMEN;24
PONYA Sara;HUN;84.444;80.000;20.631;71.334;WOMEN;26
